Date,Week,Marketplace,Product URL,Product ID,Pincode,Brand,Title,MRP,Selling Price,Discount %,Estimated Delivery Date,In Stock
2023-03-04,5,Ajio,https://www.ajio.com/p/464587596004,464587596_blue,581355,Urbano Fashion,Slim Fit Shirt with Embroidered Logo ,1299,699,46,"{'S': 'No Service', 'M': '10 Mar', 'L': 'No Service', 'XL': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587625003,464587625_yellow,581355,Urbano Fashion,Slim Fit Shirt with Embroidered Logo ,1299,699,46,"{'S': '10 Mar', 'M': 'No Service', 'L': '10 Mar', 'XL': '10 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587781003,464587781_blue,581355,Urbano Fashion, Slim Fit Shirt with Embroidered Logo ,1299,1299,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587636003,464587636_blue,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,779,51,"{'38': 'No Service', '40': '10 Mar', '42': 'No Service', '44': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587641002,464587641_red,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,779,51,"{'38': '10 Mar', '40': 'No Service', '42': 'No Service', '44': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587625004,464587625_yellow,581355,Urbano Fashion,Slim Fit Shirt with Embroidered Logo ,1299,699,46,"{'S': '10 Mar', 'M': 'No Service', 'L': '10 Mar', 'XL': '10 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587653003,464587653_blue,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,779,51,"{'38': 'No Service', '40': '10 Mar', '42': '10 Mar', '44': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587659003,464587659_red,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587665003,464587665_beige,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587636004,464587636_blue,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,779,51,"{'38': 'No Service', '40': '10 Mar', '42': 'No Service', '44': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587673003,464587673_navy,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587641003,464587641_red,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,779,51,"{'38': '10 Mar', '40': 'No Service', '42': 'No Service', '44': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587647003,464587647_blue,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,779,51,"{'38': '10 Mar', '40': '10 Mar', '42': '10 Mar', '44': '10 Mar'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587677003,464587677_blue,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587650003,464587650_red,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,779,51,"{'38': '10 Mar', '40': 'No Service', '42': '10 Mar', '44': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587653004,464587653_blue,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,779,51,"{'38': 'No Service', '40': '10 Mar', '42': '10 Mar', '44': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587659004,464587659_red,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587668003,464587668_maroon,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587693003,464587693_black,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587721004,464587721_black,581355,Urbano Fashion, Slim Fit Shirt with Embroidered Logo ,1299,699,46,"{'S': '10 Mar', 'M': '10 Mar', 'L': '10 Mar', 'XL': 'No Service'}",Yes
2023-03-04,5,Ajio,https://www.ajio.com/p/464587668004,464587668_maroon,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587699003,464587699_blue,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587677004,464587677_blue,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587682003,464587682_grey,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587702002,464587702_brown,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587686003,464587686_maroon,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
2023-03-04,5,Ajio,https://www.ajio.com/p/464587693004,464587693_black,581355,Urbano Fashion,Checked Shirt with Patch Pocket ,1599,1599,,No Service,No
